MDY,SubType,POINT_X,POINT_Y
8/4/1941,Mot_Rgt,33.14496692,54.67298384
8/6/1941,Mot_Rgt,33.13084798,54.66528943
8/10/1941,Mot_Rgt,32.82917012,54.73960419
8/12/1941,Mot_Rgt,32.71968636,54.77692408
8/14/1941,Mot_Rgt,32.76409961,54.748726100000006
8/18/1941,Mot_Rgt,32.69800159,54.77374406
8/20/1941,Mot_Rgt,32.41721056,54.27407933
8/21/1941,Mot_Rgt,32.43434829,54.2685284
8/23/1941,Mot_Rgt,32.44303313,54.30266459
8/24/1941,Mot_Rgt,32.43479128,54.29102605
7/11/1941,Mot_Bde,29.75739389,54.83182725
7/12/1941,Mot_Bde,29.8439178,54.95398387
7/13/1941,Mot_Bde,29.7843614,55.09248326
7/16/1941,Mot_Bde,30.09928166,55.31653263
7/17/1941,Mot_Bde,29.92172661,55.46866984
7/19/1941,Mot_Bde,31.50083652,55.23885943
7/24/1941,Mot_Bde,32.65813468,55.40798383
7/26/1941,Mot_Bde,32.86459437,55.37032228
7/29/1941,Mot_Bde,32.81870767,55.38365485
8/1/1941,Mot_Bde,32.7911924,55.3905434
8/2/1941,Mot_Bde,32.74452345,55.36435896
8/18/1941,Mot_Bde,32.69824399,55.27881586
8/20/1941,Mot_Bde,32.77742042,55.24671663
8/23/1941,Mot_Bde,32.71769828,55.24771782
8/24/1941,Mot_Bde,32.70892981,55.25191945
8/1/1941,PzDiv,32.00541592,55.30280715
8/14/1941,PzDiv,32.26617589999999,54.94438128
7/11/1941,PzDiv,30.12794401,53.73875026
7/12/1941,PzDiv,30.20313033,53.82393535
7/15/1941,PzDiv,30.99470773,53.80757693
7/15/1941,PzDiv,30.70797265,53.81441448
7/16/1941,PzDiv,30.90108471,53.82878536
7/17/1941,PzDiv,31.63820179,53.85359373
7/19/1941,PzDiv,31.74664839,53.7703125
7/20/1941,PzDiv,31.8267689,53.84228373
7/22/1941,PzDiv,31.82169029,53.84169958
7/24/1941,PzDiv,31.80186747,53.83046087
7/26/1941,PzDiv,31.88428145,53.86477996
7/27/1941,PzDiv,31.86864176,53.85071438
7/29/1941,PzDiv,31.85681209,53.84490447
7/30/1941,PzDiv,31.89095383,53.84985572
8/1/1941,PzDiv,32.20255724,53.76724373
8/2/1941,PzDiv,32.19119261,53.68732407
8/4/1941,PzDiv,32.23943574,53.68943074
8/6/1941,PzDiv,32.08259032,53.86068819
8/10/1941,PzDiv,31.85144846,53.60494838
8/12/1941,PzDiv,31.92848616,53.65328981
